Loaded model Qwen/Qwen3.5-4B, renderer qwen3_5_disable_thinking, max_depth 2
Loaded 7473 GSM8K problems
Step  0 | mean_reward: 0.312 | parent_correct: 6/16 | children/parent: 0.25 | datums: 38 | trained: True
Step  1 | mean_reward: 0.381 | parent_correct: 7/16 | children/parent: 0.12 | datums: 50 | trained: True
Step  2 | mean_reward: 0.044 | parent_correct: 2/16 | children/parent: 0.69 | datums: 68 | trained: True
Step  3 | mean_reward: 0.250 | parent_correct: 5/16 | children/parent: 1.75 | datums: 123 | trained: True
Step  4 | mean_reward: 0.463 | parent_correct: 8/16 | children/parent: 2.31 | datums: 187 | trained: True
Step  5 | mean_reward: 0.656 | parent_correct: 11/16 | children/parent: 3.00 | datums: 208 | trained: True
Step  6 | mean_reward: 0.519 | parent_correct: 9/16 | children/parent: 2.88 | datums: 223 | trained: True
Step  7 | mean_reward: 0.931 | parent_correct: 15/16 | children/parent: 2.12 | datums: 143 | trained: True
Step  8 | mean_reward: 0.863 | parent_correct: 14/16 | children/parent: 1.75 | datums: 123 | trained: True
Step  9 | mean_reward: 0.725 | parent_correct: 12/16 | children/parent: 2.88 | datums: 199 | trained: False
Step 10 | mean_reward: 0.588 | parent_correct: 10/16 | children/parent: 2.25 | datums: 191 | trained: True
Step 11 | mean_reward: 0.931 | parent_correct: 15/16 | children/parent: 2.94 | datums: 210 | trained: True
Step 12 | mean_reward: 0.681 | parent_correct: 11/16 | children/parent: 2.94 | datums: 170 | trained: True
Step 13 | mean_reward: 0.794 | parent_correct: 13/16 | children/parent: 2.75 | datums: 190 | trained: True
Step 14 | mean_reward: 0.656 | parent_correct: 11/16 | children/parent: 2.88 | datums: 214 | trained: True
Step 15 | mean_reward: 0.463 | parent_correct: 8/16 | children/parent: 2.44 | datums: 186 | trained: True
Step 16 | mean_reward: 0.588 | parent_correct: 10/16 | children/parent: 2.69 | datums: 199 | trained: True
Step 17 | mean_reward: 0.931 | parent_correct: 15/16 | children/parent: 2.12 | datums: 155 | trained: True
Step 18 | mean_reward: 0.869 | parent_correct: 14/16 | children/parent: 2.81 | datums: 187 | trained: True
Step 19 | mean_reward: 0.863 | parent_correct: 14/16 | children/parent: 2.19 | datums: 161 | trained: True
